=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.02 12:37:16 =~=~=~=~=~=~=~=~=~=~=~=
Beginning Test Setup/Calibration
BendLabs Calibration routine
Press a key when the sensor is flat and straight on a table
a
Good. Now press a key when the sensor is flat on table but bent at 90 degrees (along X axis).
a
BendLabsCalibration complete.
Actuator Centering...
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Please enter the height of the tether attachment point on the user (from the actuator attachment) (in):
50
Please enter the distance between the attachement point on the user and actuator (in):
56
Good. Now press a key when ready to begin the test.
a
The NO Lean Tether Angle is: 36.48
36.48, 37.03
36.48, 38.04
36.48, 39.56
36.49, 40.48
36.49, 40.48
36.49, 40.48
36.49, 41.31
36.50, 41.83
36.50, 41.83
36.50, 42.93
36.51, 43.45
36.51, 43.45
36.51, 43.45
36.52, 42.83
36.52, 42.83
36.52, 42.83
36.52, 41.19
36.53, 40.35
36.53, 41.32
36.53, 43.94
36.54, 45.77
36.54, 45.77
36.55, 44.89
36.55, 44.38
36.55, 44.38
36.56, 43.42
36.56, 41.03
36.56, 39.31
36.56, 39.31
36.56, 41.18
36.57, 42.19
36.57, 42.72
36.57, 43.60
36.58, 44.27
36.58, 44.27
36.58, 43.66
36.59, 42.23
36.59, 41.26
36.59, 41.81
36.60, 43.48
36.60, 44.62
36.60, 44.62
36.61, 43.13
36.61, 42.34
36.61, 42.34
36.62, 42.34
36.62, 41.17
36.62, 40.51
36.62, 41.05
36.63, 42.59
36.63, 43.67
36.63, 43.67
36.64, 43.67
36.64, 43.67
36.64, 43.67
36.65, 43.67
36.65, 42.35
36.65, 41.70
36.65, 41.70
36.66, 43.15
36.66, 43.90
36.66, 43.90
36.67, 43.09
36.67, 43.09
36.67, 43.09
36.68, 42.14
36.68, 40.87
36.68, 39.94
36.68, 40.79
36.69, 43.16
36.69, 44.81
36.69, 44.81
36.70, 44.81
36.70, 44.15
36.71, 44.15
36.71, 44.15
36.71, 44.15
36.72, 42.44
36.72, 42.44
36.72, 43.14
36.73, 44.12
36.73, 43.32
36.73, 40.96
36.73, 39.30
36.73, 39.30
36.74, 40.75
36.74, 44.02
36.74, 46.25
36.75, 45.74
36.75, 43.73
36.75, 42.40
36.76, 42.40
36.76, 41.59
36.76, 41.59
36.76, 41.59
36.77, 41.59
36.77, 41.59
36.77, 41.59
36.77, 41.59
36.78, 41.59
36.78, 42.46
36.78, 43.06
36.79, 43.06
36.79, 43.06
36.79, 43.06
36.80, 43.06
36.80, 41.68
36.80, 41.03
36.80, 41.03
36.81, 49.57
36.82, 69.75
36.85, 84.02
36.87, 76.98
36.88, 54.87
36.88, 39.73
36.88, 38.46
36.89, 49.28
36.90, 70.19
36.93, 84.12
36.95, 77.43
36.96, 56.73
36.96, 42.65
36.96, 40.97
36.96, 42.06
36.97, 42.06
36.97, 42.06
36.97, 42.06
36.97, 42.88
36.98, 42.88
36.98, 42.88
36.98, 42.88
36.99, 42.04
36.99, 41.43
36.99, 42.07
36.99, 43.81
37.00, 45.02
37.00, 44.05
37.00, 41.29
37.00, 39.39
37.01, 39.39
37.01, 41.83
37.01, 47.43
37.02, 51.28
37.03, 50.09
37.03, 45.84
37.03, 42.99
37.04, 42.18
37.04, 41.28
37.04, 40.52
37.04, 40.52
37.04, 40.52
37.05, 40.52
37.05, 40.52
37.05, 40.52
37.05, 42.26
37.06, 43.25
37.06, 43.25
37.06, 41.32
37.06, 40.32
37.06, 40.32
37.07, 43.30
37.07, 50.26
37.08, 55.14
37.09, 53.14
37.10, 46.58
37.10, 42.10
37.10, 41.07
37.10, 40.25
37.10, 39.48
37.10, 39.48
37.11, 39.48
37.11, 39.48
37.11, 39.48
37.11, 40.08
37.11, 42.45
37.12, 44.13
37.12, 43.60
37.12, 41.69
37.12, 40.40
37.12, 40.40
37.13, 44.60
37.14, 54.41
37.15, 61.28
37.16, 58.42
37.17, 49.04
37.17, 42.65
37.17, 41.63
37.17, 41.63
37.17, 41.63
37.18, 41.05
37.18, 43.52
37.19, 49.32
37.19, 53.42
37.20, 51.86
37.21, 46.61
37.21, 43.04
37.21, 43.04
37.21, 43.04
37.22, 43.04
37.22, 43.04
37.22, 43.04
37.23, 43.04
37.23, 43.04
37.23, 43.04
37.24, 43.70
37.24, 43.70
37.24, 43.70
37.24, 43.70
37.25, 42.10
37.25, 41.12
37.25, 41.12
37.25, 42.87
37.26, 43.78
37.26, 43.78
37.26, 45.01
37.27, 45.59
37.27, 45.59
37.28, 44.74
37.28, 42.72
37.28, 41.33
37.28, 41.33
37.29, 43.03
37.29, 43.93
37.29, 43.93
37.30, 44.50
37.30, 44.50
37.30, 44.50
37.31, 44.50
37.31, 42.86
37.31, 41.93
37.31, 41.93
37.32, 42.56
37.32, 42.56
37.32, 42.56
37.33, 42.56
37.33, 42.56
37.33, 42.56
37.33, 42.56
37.34, 41.99
37.34, 41.99
37.34, 41.99
37.34, 43.07
37.35, 43.74
37.35, 43.74
37.35, 43.74
37.36, 43.23
37.36, 43.23
37.36, 43.23
37.36, 42.34
37.37, 42.34
37.37, 42.34
37.37, 42.34
37.37, 42.34
37.38, 42.34
37.38, 43.12
37.38, 43.12
37.38, 43.12
37.39, 43.12
37.39, 43.12
37.39, 42.41
37.40, 42.41
37.40, 43.09
37.40, 43.09
37.40, 43.94
37.41, 45.00
37.41, 45.76
37.42, 45.76
37.42, 44.69
37.42, 42.21
37.42, 40.49
37.43, 40.49
37.43, 42.02
37.43, 42.84
37.43, 42.84
37.44, 42.84
37.44, 42.84
37.44, 42.84
37.44, 42.84
37.45, 41.49
37.45, 40.75
37.45, 40.75
37.45, 42.49
37.46, 43.39
37.46, 43.39
37.46, 44.34
37.46, 44.34
37.47, 44.34
37.47, 44.34
37.47, 42.86
37.48, 41.92
37.48, 41.92
