=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.02 12:40:08 =~=~=~=~=~=~=~=~=~=~=~=
Beginning Test Setup/Calibration
43.48, 49.89
43.49, 47.80
43.49, 46.38
43.49, 46.38
43.49, 49.57
43.50, 56.94
43.51, 62.09
43.52, 60.36
43.52, 54.34
43.53, 50.27
43.53, 49.07
43.53, 47.66
43.53, 46.49
43.53, 46.49
43.53, 46.49
43.54, 46.49
43.54, 46.49
43.54, 47.16
43.54, 48.15
43.54, 48.87
43.55, 48.87
43.55, 47.29
43.55, 46.47
43.55, 46.47
43.55, 49.43
43.56, 56.35
43.57, 61.21
43.58, 59.75
43.58, 54.46
43.59, 50.89
43.59, 49.84
43.59, 48.61
43.59, 47.59
43.60, 47.59
43.60, 47.59
43.60, 47.59
43.60, 48.28
43.61, 48.28
43.61, 48.28
43.61, 48.28
43.61, 48.80
43.62, 48.80
43.62, 48.80
43.62, 49.49
43.62, 49.49
43.63, 49.49
43.63, 48.89
43.63, 48.89
43.64, 54.64
43.65, 68.24
43.67, 77.87
43.68, 72.97
43.69, 57.70
43.69, 47.22
43.69, 47.22
43.70, 49.60
43.70, 51.18
43.70, 51.18
43.71, 51.18
43.71, 58.09
43.73, 75.39
43.75, 79.98
43.76, 62.91
43.76, 48.01
43.76, 45.85
43.76, 47.91
43.76, 48.97
43.77, 48.97
43.77, 48.97
43.77, 49.66
43.78, 50.20
43.78, 50.20
43.78, 49.33
43.78, 49.33
43.79, 48.82
43.79, 48.82
43.79, 48.06
43.79, 48.06
43.80, 48.06
43.80, 48.06
43.80, 48.69
43.80, 48.69
43.81, 49.52
43.81, 49.52
43.81, 49.52
43.81, 49.52
43.82, 48.53
43.82, 47.86
43.82, 48.49
43.82, 50.21
43.83, 51.41
43.83, 51.41
43.84, 51.99
43.84, 51.99
43.84, 51.99
43.85, 51.99
43.85, 49.72
43.85, 48.48
43.86, 48.48
43.86, 48.48
43.86, 48.48
43.86, 48.48
43.87, 49.02
43.87, 49.02
43.87, 49.02
43.87, 49.02
43.88, 49.02
43.88, 49.02
43.88, 49.02
43.88, 49.02
43.89, 49.02
43.89, 49.81
43.89, 50.61
43.90, 51.18
43.90, 51.18
43.90, 51.18
43.91, 49.66
43.91, 48.95
43.91, 48.95
43.91, 49.88
43.92, 49.88
43.92, 49.88
43.92, 49.88
43.93, 49.27
43.93, 49.27
43.93, 49.27
43.93, 48.18
43.94, 47.61
43.94, 48.15
43.94, 49.65
43.94, 50.70
43.95, 50.70
43.95, 49.00
43.95, 48.11
43.95, 48.11
43.96, 48.11
43.96, 48.11
43.96, 48.11
43.96, 48.11
43.96, 49.37
43.97, 49.94
43.97, 49.94
43.97, 49.94
43.98, 48.33
43.98, 47.57
43.98, 47.57
43.98, 48.69
43.98, 49.27
43.99, 49.27
43.99, 48.46
43.99, 48.46
43.99, 48.46
44.00, 48.46
44.00, 48.46
44.00, 47.81
44.00, 47.81
44.00, 47.81
44.01, 48.82
44.01, 49.40
44.01, 49.40
44.01, 47.83
44.02, 47.02
44.02, 47.02
44.02, 55.51
44.04, 75.55
44.06, 89.71
44.08, 83.13
44.09, 62.14
44.09, 47.78
44.09, 46.27
44.09, 47.91
44.10, 48.50
44.10, 48.50
44.10, 47.76
44.10, 46.57
44.10, 45.78
44.10, 46.43
44.11, 48.24
44.11, 49.49
44.11, 49.49
44.11, 48.40
44.11, 45.95
44.11, 44.28
44.12, 45.29
44.12, 48.25
44.12, 50.29
44.12, 50.29
44.13, 49.07
44.13, 48.39
44.13, 48.39
44.13, 50.42
44.14, 55.12
44.15, 58.41
44.15, 57.11
44.16, 52.82
44.16, 49.89
44.16, 48.74
44.16, 47.07
44.16, 45.77
44.16, 45.77
44.17, 45.77
44.17, 45.77
44.17, 45.77
44.17, 46.85
44.17, 49.47
44.17, 51.34
44.18, 50.78
44.18, 48.73
44.18, 47.35
44.18, 47.35
44.19, 50.45
44.19, 57.62
44.20, 62.62
44.21, 60.59
44.22, 53.93
44.22, 49.39
44.22, 49.39
44.22, 49.39
44.23, 49.39
44.23, 49.39
44.23, 48.30
44.23, 48.30
44.23, 48.30
44.24, 52.57
44.25, 62.53
44.26, 69.58
44.27, 70.24
44.28, 65.32
44.29, 55.82
44.29, 49.50
44.30, 49.50
44.30, 53.52
44.31, 62.14
44.32, 67.88
44.33, 67.88
44.34, 66.27
44.35, 63.28
44.36, 61.49
44.37, 61.49
44.38, 59.47
44.38, 54.23
44.39, 50.41
44.39, 50.41
44.39, 52.30
44.40, 56.57
44.41, 59.37
44.41, 57.50
44.42, 52.12
44.42, 48.42
44.42, 47.88
44.42, 47.88
44.42, 47.88
44.43, 47.88
44.43, 47.88
44.43, 47.88
44.43, 47.88
44.43, 48.57
44.44, 49.63
44.44, 50.39
44.44, 50.39
44.44, 50.39
44.45, 48.84
44.45, 48.13
44.45, 48.13
44.45, 49.34
44.46, 49.96
44.46, 49.96
44.46, 51.16
44.46, 51.73
44.47, 51.73
44.47, 51.11
44.47, 49.65
