1492, 24.01, 43.21, -62.12, 359.80, 359.12, 359.99, 29.05
1502, 24.91, 43.66, -61.22, 359.77, 359.12, 359.98, 29.70
1511, 24.16, 43.36, -62.72, 359.73, 359.13, 359.97, 29.12
1521, 24.16, 43.36, -62.72, 359.69, 359.13, 359.96, 29.12
1531, 23.86, 41.86, -61.97, 359.66, 359.13, 359.95, 29.68
1540, 23.86, 42.61, -60.62, 359.62, 359.13, 359.94, 29.24
1550, 23.26, 41.71, -61.07, 359.59, 359.13, 359.93, 29.14
1560, 24.16, 42.61, -61.67, 359.55, 359.13, 359.92, 29.55
1569, 24.46, 42.91, -60.62, 359.52, 359.13, 359.91, 29.68
1579, 23.86, 41.86, -60.92, 359.48, 359.13, 359.90, 29.68
1589, 23.26, 43.81, -61.52, 359.44, 359.14, 359.90, 27.96
1599, 23.26, 42.01, -62.12, 359.40, 359.14, 359.89, 28.97
1608, 23.26, 43.21, -61.07, 359.36, 359.14, 359.88, 28.29
1618, 24.16, 43.36, -61.67, 359.32, 359.14, 359.87, 29.12
1628, 24.46, 43.36, -60.62, 359.28, 359.14, 359.86, 29.42
1638, 22.81, 41.56, -59.86, 359.25, 359.15, 359.85, 28.76
1648, 24.46, 41.86, -62.72, 359.21, 359.15, 359.84, 30.29
1657, 24.76, 43.21, -61.07, 359.17, 359.16, 359.83, 29.81
1719, 24.31, 43.21, -61.82, 359.13, 359.16, 359.82, 29.36
1729, 25.36, 43.81, -61.82, 359.08, 359.16, 359.81, 30.06
1739, 24.46, 43.36, -62.72, 359.04, 359.16, 359.80, 29.42
1749, 23.11, 41.11, -61.22, 359.00, 359.16, 359.79, 29.34
1759, 22.51, 41.71, -61.82, 358.96, 359.16, 359.78, 28.35
1769, 23.41, 44.41, -61.22, 358.92, 359.16, 359.77, 27.79
1779, 21.91, 42.76, -61.82, 358.89, 359.17, 359.76, 27.13
1789, 23.11, 43.66, -61.22, 358.84, 359.17, 359.75, 27.89
1799, 22.06, 42.91, -61.67, 358.80, 359.18, 359.74, 27.20
1809, 24.91, 42.91, -61.97, 358.76, 359.18, 359.73, 30.13
1819, 24.16, 44.41, -61.67, 358.72, 359.18, 359.72, 28.54
1829, 23.26, 42.46, -62.42, 358.68, 359.18, 359.72, 28.71
1839, 21.46, 43.21, -61.82, 358.63, 359.18, 359.71, 26.41
1849, 23.26, 41.41, -62.42, 358.59, 359.18, 359.70, 29.32
1859, 22.81, 42.61, -61.97, 358.55, 359.19, 359.69, 28.16
1869, 23.41, 42.31, -61.22, 358.50, 359.19, 359.68, 28.95
1879, 24.01, 43.21, -61.52, 358.46, 359.19, 359.67, 29.05
1919, 23.56, 42.76, -61.82, 358.42, 359.19, 359.66, 28.85
1929, 23.56, 42.76, -61.52, 358.38, 359.19, 359.65, 28.85
1939, 23.41, 42.31, -61.97, 358.33, 359.19, 359.64, 28.95
1949, 23.11, 44.11, -63.02, 358.28, 359.20, 359.63, 27.65
1959, 22.96, 43.51, -61.07, 358.23, 359.20, 359.62, 27.82
1969, 22.81, 42.91, -61.67, 358.18, 359.20, 359.61, 27.99
1979, 22.96, 43.21, -61.07, 358.13, 359.21, 359.60, 27.98
1989, 21.91, 44.26, -61.82, 358.08, 359.21, 359.59, 26.33
1999, 22.06, 43.66, -63.02, 358.03, 359.21, 359.58, 26.80
2009, 24.01, 43.81, -62.12, 357.99, 359.21, 359.58, 28.72
2019, 23.11, 41.56, -60.92, 357.94, 359.22, 359.57, 29.07
2029, 23.26, 42.01, -61.07, 357.90, 359.22, 359.56, 28.97
2039, 23.86, 42.31, -61.97, 357.85, 359.22, 359.55, 29.42
2049, 24.16, 42.91, -62.27, 357.81, 359.22, 359.54, 29.38
2059, 22.81, 42.61, -62.27, 357.76, 359.22, 359.53, 28.16
2069, 22.96, 42.01, -61.07, 357.72, 359.23, 359.52, 28.65
2079, 24.16, 42.31, -61.22, 357.67, 359.23, 359.51, 29.72
2118, 23.86, 43.66, -61.97, 357.62, 359.23, 359.50, 28.65
2128, 23.26, 43.81, -62.12, 357.56, 359.23, 359.49, 27.96
2138, 24.91, 44.11, -61.97, 357.52, 359.23, 359.48, 29.45
2148, 24.31, 43.81, -61.82, 357.47, 359.23, 359.47, 29.02
2158, 22.51, 43.51, -62.12, 357.42, 359.23, 359.47, 27.35
2168, 22.06, 42.91, -62.27, 357.37, 359.24, 359.46, 27.20
2178, 22.51, 42.46, -62.42, 357.32, 359.24, 359.45, 27.93
2188, 22.96, 43.21, -61.52, 357.27, 359.24, 359.44, 27.98
2198, 22.36, 42.91, -62.27, 357.22, 359.25, 359.43, 27.52
2208, 23.56, 42.01, -62.87, 357.17, 359.25, 359.42, 29.28
2218, 24.01, 42.76, -62.42, 357.11, 359.25, 359.41, 29.31
2228, 24.16, 42.61, -61.97, 357.05, 359.26, 359.40, 29.55
2238, 23.26, 42.76, -60.77, 356.99, 359.26, 359.39, 28.54
2248, 23.41, 42.31, -61.67, 356.94, 359.27, 359.38, 28.95
2258, 22.96, 43.51, -62.42, 356.88, 359.27, 359.37, 27.82
2268, 22.21, 43.51, -61.82, 356.82, 359.27, 359.36, 27.04
2278, 22.81, 41.86, -62.27, 356.77, 359.27, 359.35, 28.58
2316, 25.21, 43.36, -61.22, 356.72, 359.28, 359.35, 30.17
2326, 23.11, 41.86, -60.92, 356.66, 359.28, 359.34, 28.90
2336, 23.11, 43.36, -61.97, 356.61, 359.28, 359.33, 28.05
2346, 24.91, 43.36, -61.22, 356.55, 359.29, 359.32, 29.87
2356, 22.36, 42.31, -60.92, 356.49, 359.29, 359.31, 27.85
2366, 22.36, 43.36, -62.72, 356.43, 359.29, 359.30, 27.27
2376, 23.56, 44.26, -63.47, 356.37, 359.30, 359.29, 28.02
2386, 23.86, 42.61, -61.67, 356.31, 359.30, 359.28, 29.24
2396, 24.31, 42.76, -62.87, 356.26, 359.30, 359.27, 29.61
2406, 23.56, 42.76, -61.52, 356.19, 359.30, 359.27, 28.85
2416, 23.41, 41.56, -62.27, 356.13, 359.31, 359.26, 29.39
2426, 22.51, 41.41, -61.82, 356.07, 359.31, 359.25, 28.52
2436, 22.96, 43.51, -61.52, 356.01, 359.31, 359.24, 27.82
2446, 22.96, 43.21, -61.07, 355.95, 359.32, 359.23, 27.98
2456, 23.56, 43.51, -62.12, 355.88, 359.32, 359.22, 28.43
2466, 21.61, 42.91, -62.72, 355.81, 359.32, 359.21, 26.73
2476, 23.41, 42.31, -60.92, 355.74, 359.33, 359.20, 28.95
2514, 24.01, 43.21, -60.47, 355.68, 359.33, 359.19, 29.05
2524, 23.11, 41.86, -61.67, 355.61, 359.33, 359.18, 28.90
2534, 24.01, 43.81, -62.12, 355.55, 359.34, 359.18, 28.72
2544, 22.96, 42.76, -61.52, 355.48, 359.34, 359.17, 28.23
2554, 23.41, 42.31, -62.27, 355.42, 359.34, 359.16, 28.95
2564, 22.21, 44.56, -63.47, 355.36, 359.34, 359.15, 26.49
2574, 23.26, 43.51, -62.42, 355.29, 359.35, 359.14, 28.12
2584, 24.01, 42.46, -62.12, 355.22, 359.35, 359.13, 29.48
2594, 24.76, 44.26, -61.52, 355.16, 359.35, 359.12, 29.22
2604, 23.41, 43.66, -62.72, 355.09, 359.36, 359.11, 28.19
2614, 24.16, 42.61, -61.97, 355.02, 359.36, 359.11, 29.55
2624, 23.11, 42.61, -61.67, 354.95, 359.36, 359.10, 28.47
2634, 23.86, 42.91, -62.72, 354.88, 359.37, 359.09, 29.07
2644, 22.51, 42.76, -60.77, 354.81, 359.37, 359.08, 27.76
2654, 23.86, 42.31, -62.27, 354.74, 359.37, 359.07, 29.42
2664, 22.51, 42.76, -62.12, 354.67, 359.38, 359.06, 27.76
2674, 22.36, 43.66, -61.67, 354.59, 359.38, 359.05, 27.11
2714, 25.21, 43.36, -60.32, 354.29, 359.39, 359.02, 30.17
2724, 23.41, 41.86, -63.02, 354.22, 359.40, 359.01, 29.21
2734, 24.76, 42.76, -62.12, 354.14, 359.40, 359.00, 30.07
2744, 23.41, 42.61, -60.92, 354.07, 359.41, 358.99, 28.78
2754, 23.26, 43.21, -61.07, 353.99, 359.41, 358.98, 28.29
2764, 23.11, 43.36, -61.67, 353.92, 359.41, 358.97, 28.05
