=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.04 11:12:52 =~=~=~=~=~=~=~=~=~=~=~=
Beginning Test Setup/Calibration
BendLabs Calibration routine
Press a key when the sensor is flat and straight on a table
a
Good. Now press a key when the sensor is flat on table but bent at 90 degrees (along X axis).
a
BendLabsCalibration complete.
Actuator Centering...
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Left Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Right Bumper Hit
Please enter the height of the tether attachment point on the user (from the actuator attachment) (in):
50
Please enter the distance between the attachement point on the user and actuator (in):
56
Good. Now press a key when ready to begin the test.
a
Looping ... 
The NO Lean Tether Angle is: 43.68
43.62, 42.46
43.48, 40.74
43.28, 39.56
43.13, 40.27
43.10, 42.39
43.13, 43.85
43.17, 43.85
43.23, 44.45
43.30, 44.45
43.35, 44.45
43.41, 44.45
43.46, 44.45
43.51, 44.45
43.56, 44.45
43.55, 43.34
43.50, 42.54
43.45, 42.54
43.49, 44.37
43.59, 45.31
43.67, 45.31
43.69, 44.09
43.68, 43.44
43.67, 43.44
43.66, 43.44
43.65, 43.44
43.64, 43.44
43.66, 44.17
43.75, 45.34
43.87, 46.18
43.96, 45.66
43.96, 44.09
43.92, 43.01
43.87, 43.01
43.87, 43.94
43.98, 46.02
44.15, 47.43
44.32, 47.43
44.43, 46.59
44.54, 46.59
44.59, 45.47
44.56, 44.06
44.48, 43.04
44.41, 43.04
44.78, 51.70
46.14, 72.15
48.17, 86.59
50.15, 87.92
51.92, 85.48
53.53, 84.11
55.06, 84.11
56.11, 76.04
56.14, 56.83
55.49, 43.14
54.80, 41.68
54.24, 43.51
53.74, 44.31
53.27, 44.31
53.22, 52.22
54.13, 71.48
55.68, 85.18
56.83, 78.64
56.88, 57.87
56.22, 43.65
55.52, 42.14
54.93, 43.74
54.40, 44.31
53.89, 44.31
53.41, 44.31
53.01, 45.26
52.65, 45.89
52.31, 45.89
51.91, 44.35
51.50, 43.55
51.10, 43.55
51.14, 51.90
52.16, 71.59
53.83, 85.51
55.08, 78.77
55.20, 57.52
54.59, 42.96
53.93, 41.48
53.40, 43.25
52.92, 43.93
52.47, 43.93
52.46, 52.22
53.46, 72.42
55.13, 86.80
56.38, 80.11
56.49, 58.73
55.87, 44.09
55.20, 42.47
54.64, 43.95
54.11, 43.95
53.60, 43.95
53.53, 52.33
54.44, 71.62
55.98, 85.33
57.12, 78.70
57.15, 57.73
56.46, 43.36
55.73, 41.92
55.13, 43.74
54.60, 44.45
54.09, 44.45
54.01, 52.42
54.90, 71.87
56.44, 85.72
57.58, 79.27
57.64, 58.66
56.98, 44.55
56.27, 42.74
55.64, 43.57
55.03, 43.57
54.46, 43.57
53.91, 43.57
53.40, 43.57
52.94, 44.20
52.50, 44.20
52.15, 45.43
51.84, 46.02
51.55, 46.02
51.69, 54.24
52.79, 73.76
54.53, 87.63
56.25, 88.93
57.73, 85.86
58.98, 82.79
60.11, 81.42
60.80, 73.99
60.58, 56.48
59.75, 43.94
58.88, 42.21
58.08, 42.97
57.32, 42.97
56.61, 42.97
55.93, 42.97
55.28, 42.97
54.69, 43.56
54.16, 44.08
53.71, 45.23
53.33, 46.05
52.94, 45.45
52.47, 43.69
51.98, 42.48
51.50, 42.48
51.08, 43.18
50.77, 44.71
50.51, 45.73
50.27, 45.73
50.10, 46.69
49.92, 46.69
49.67, 44.80
49.36, 43.54
49.07, 43.54
48.79, 43.54
48.53, 43.54
48.31, 44.09
48.10, 44.09
47.90, 44.09
47.74, 44.84
47.60, 44.84
47.46, 44.84
47.33, 44.84
47.21, 44.84
47.09, 44.84
46.98, 44.84
46.87, 44.84
46.77, 44.84
46.67, 44.84
46.58, 44.84
46.53, 45.62
46.51, 46.14
46.49, 46.14
46.48, 46.14
46.43, 45.46
46.31, 44.03
46.14, 43.03
45.99, 43.03
45.84, 43.03
45.75, 43.97
45.66, 43.97
45.57, 43.97
45.52, 44.50
45.47, 44.50
45.46, 45.22
45.44, 45.22
45.43, 45.22
45.42, 45.22
45.45, 45.98
45.48, 45.98
45.50, 45.98
45.53, 45.98
45.55, 45.98
45.57, 45.98
45.62, 46.64
45.70, 47.16
45.77, 47.16
45.76, 45.53
45.71, 44.70
45.66, 44.70
45.61, 44.70
45.56, 44.70
45.48, 43.85
45.37, 43.35
45.27, 43.35
45.17, 43.35
45.08, 43.35
45.04, 44.12
44.99, 44.12
44.95, 44.12
44.85, 43.11
44.73, 42.43
44.62, 42.43
44.51, 42.43
44.47, 43.77
44.47, 44.39
44.46, 44.39
44.46, 44.39
44.46, 44.39
44.49, 45.18
44.53, 45.18
44.60, 46.10
44.68, 46.10
44.62, 43.43
44.44, 41.01
44.21, 39.84
43.99, 39.84
43.90, 42.18
43.90, 43.89
43.90, 43.89
43.76, 41.09
43.52, 39.04
43.30, 39.04
43.08, 39.04
42.92, 39.86
42.84, 41.20
42.88, 43.63
43.00, 45.29
43.11, 45.29
43.22, 45.29
43.36, 46.09
43.53, 46.63
43.68, 46.63
43.83, 46.63
43.94, 46.05
44.05, 46.05
44.15, 46.05
