=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.04 11:41:26 =~=~=~=~=~=~=~=~=~=~=~=
Beginning Test Setup/Calibration
41.85, 40.62
41.85, 40.62
41.84, 40.62
41.83, 40.01
41.83, 41.67
41.83, 42.85
41.83, 41.54
41.83, 40.77
41.83, 41.50
41.82, 41.50
41.82, 40.31
41.80, 38.72
41.78, 38.05
41.77, 38.93
41.77, 41.33
41.77, 43.55
41.78, 42.67
41.78, 41.39
41.78, 41.92
41.77, 41.09
41.76, 39.53
41.76, 40.57
41.76, 42.53
41.77, 42.53
41.76, 41.41
41.77, 42.57
41.77, 42.57
41.77, 41.56
41.77, 41.56
41.77, 41.56
41.76, 40.15
41.75, 40.15
41.75, 42.02
41.75, 41.46
41.75, 40.57
41.74, 41.07
41.74, 41.07
41.74, 41.73
41.75, 44.39
41.77, 44.39
41.77, 42.63
41.77, 41.44
41.77, 41.44
41.76, 40.33
41.75, 39.78
41.75, 41.20
41.75, 42.64
41.75, 42.11
41.75, 41.61
41.76, 43.11
41.77, 44.27
41.77, 42.34
41.77, 40.42
41.76, 40.99
41.76, 40.99
41.75, 39.69
41.74, 40.66
41.75, 42.45
41.75, 42.45
41.75, 40.93
41.74, 40.93
41.74, 40.93
41.74, 40.93
41.73, 40.93
41.73, 41.80
41.73, 41.18
41.72, 40.65
41.72, 41.18
41.72, 41.18
41.72, 41.18
41.72, 41.85
41.72, 41.85
41.71, 40.31
41.71, 41.14
41.71, 42.99
41.71, 42.09
41.71, 40.78
41.71, 41.67
41.71, 41.67
41.70, 40.21
41.69, 40.21
41.69, 41.16
41.69, 41.16
41.69, 41.16
41.69, 42.92
41.70, 42.92
41.70, 41.24
41.69, 41.24
41.69, 40.53
41.68, 40.53
41.68, 41.55
41.69, 43.44
41.70, 43.44
41.71, 42.83
41.71, 42.83
41.71, 41.59
41.71, 40.80
41.70, 40.80
41.69, 40.00
41.68, 40.00
41.68, 41.02
41.68, 42.25
41.68, 41.22
41.68, 41.22
41.68, 42.50
41.68, 41.56
41.68, 40.40
41.67, 40.40
41.66, 40.40
41.66, 40.40
41.66, 42.51
41.68, 44.40
41.68, 42.76
41.68, 40.61
41.67, 40.61
41.66, 40.61
41.66, 40.61
41.65, 40.05
41.64, 40.05
41.64, 40.05
41.63, 41.44
41.64, 42.32
41.63, 40.94
41.63, 40.15
41.63, 41.47
41.63, 41.47
